Approximate vocal-track candidates from CLAP text/audio contrast
Database: C:\db\abstracted.sqlite
Tracks with CLAP embeddings: 61355
Threshold: top 5% score >= -0.033566
Selected: 3068
Score = max(vocal prompt similarity) - max(instrumental prompt similarity)

score	id	title	maest_top_labels	path
0.102979	23366	Figi & San Proper - Let it Bleed - 4424 DIGITAL	Funk, Hip Hop, Electro	M:/Volumes/Abstracted/20001-30000/Figi & San Proper - Let it Bleed - 4424 DIGITAL.wav
0.102381	17697	Sade - i never thought i'd see the day	Downtempo, Smooth Jazz, Soul	M:/Volumes/Abstracted/10001-20000/Sade - i never thought i'd see the day.wav
0.102304	16816	Paket - Heart and Mind	Breaks, Breakbeat, Drum n Bass	M:/Volumes/Abstracted/10001-20000/Paket - Heart and Mind.wav
0.102155	11246	Basti Grub - Ko Sar Ra Di	Tech House, Deep House, House	M:/Volumes/Abstracted/10001-20000/Basti Grub - Ko Sar Ra Di.flac
0.101964	39883	Yello - Oh Yeah (Remastered 2005)	Synth-pop, Electro, House	M:/Volumes/Abstracted/30001-40000/Yello - Oh Yeah (Remastered 2005).flac
0.101741	29941	Zig Zag - Da Pressha	House, Deep House, Techno	M:/Volumes/Abstracted/20001-30000/Zig Zag - Da Pressha.wav
0.101095	33113	Cajmere - Dream States (feat. Derrick Carter)	House, Deep House, Garage House	M:/Volumes/Abstracted/30001-40000/Cajmere - Dream States (feat. Derrick Carter).flac
0.100498	27760	SE62, Javonntte - Fantasy	House, Deep House, Garage House	M:/Volumes/Abstracted/20001-30000/SE62, Javonntte - Fantasy [RAWSOUL008].flac
0.099760	54999	Frustration - Dying City	Industrial, EBM, Electro	M:/Volumes/Avantgarde/MP3/Various Artists - DYING CITIES REMIX [2018]/05 - Frustration - Dying City.mp3
0.099548	27155	Radio Slave - Acid Dip	Grime, Bass Music, Dubstep	M:/Volumes/Abstracted/20001-30000/Radio Slave - Acid Dip.flac
0.098789	13780	Glue Trip - Elbow Pain	Downtempo, Acoustic, Folk Rock	M:/Volumes/Abstracted/10001-20000/Glue Trip - Elbow Pain.wav
0.098436	48295	Julian Wassermann - Painfully (Radio Edit)	Deep House, Progressive House, Tech House	M:/Volumes/Avantgarde/MP3/Julian Wassermann - PAINFULLY [2018]/02 - Julian Wassermann - Painfully (Radio Edit).mp3
0.098253	37834	PPalace - GOOGLY MOOGLY	Electro, Trap, Gangsta	M:/Volumes/Abstracted/30001-40000/PPLAN G - GOOGLY MOOGLY.flac
0.097680	18718	The Notorious B.I.G. - One More Chance	Conscious, Hardcore Hip-Hop, Boom Bap	M:/Volumes/Abstracted/10001-20000/The Notorious B.I.G. - One More Chance.flac
0.097480	43896	Leon Vynehall - Farewell! Magnus Gabbro	Experimental, Drone, Ambient	M:/Volumes/Albums/Leon Vynehall - Rare, Forever (Ninja Tune).FLAC/09-Leon Vynehall - Farewell! Magnus Gabbro.flac
0.097210	29389	Velodrome - Capataz	Techno, EBM, Industrial	M:/Volumes/Abstracted/20001-30000/Velodrome - На Велодроме 141 - 03 Capataz.flac
0.096985	38309	Sade - Hang On To Your Love (U.S. Remix)	Synth-pop, Soul, Downtempo	M:/Volumes/Abstracted/30001-40000/Sade - Hang On To Your Love (U.S. Remix) 1984.flac
0.096867	47306	Fantastic Twins - Shake It	House, Deep House, Techno	M:/Volumes/Avantgarde/MP3/Fantastic Twins - THE NEW YOU [2017]/01 - Fantastic Twins - Shake It.mp3
0.096437	9705	Waka Flocka Flame, Kebo Gotti - Grove St. Party	Thug Rap, Crunk, Gangsta	M:/Volumes/Abstracted/00001-10000/Waka Flocka Flame, Kebo Gotti - Grove St. Party.flac
0.096020	47330	Feed Me feat. Graham Fink - Till the Wheels Come Off	Electro House, House, Progressive House	M:/Volumes/Avantgarde/MP3/Feed Me - SLEEPLESS [2019]/06 - Feed Me feat. Graham Fink - Till the Wheels Come Off.mp3
0.095903	1238	Big L - ’98 Freestyle	Hardcore Hip-Hop, Gangsta, Boom Bap	M:/Volumes/Abstracted/00001-10000/Big L - ’98 Freestyle.flac
0.095668	1575	Carnage; Gordo - KTM	Bassline, House, Electro House	M:/Volumes/Abstracted/00001-10000/Carnage - KTM.wav
0.095321	43798	Kerri Chandler (Official) - JOYKERRI	House, Garage House, Deep House	M:/Volumes/Albums/Kerri Chandler (Official) - Dad Giveaway 03/Kerri Chandler (Official) - Dad Giveaway - 26 JOYKERRI.aiff
0.095075	31541	Joey Washington - Just Us  (BOP Til You Drop Mix)	Garage House, House, Deep House	M:/Volumes/Abstracted/30001-40000/16. Joey Washington - Just Us (BOP Til You Drop Mix).flac
0.095037	1171	Begin - Alldaydream	Downtempo, Trip Hop, Ambient	M:/Volumes/Abstracted/00001-10000/Begin - Alldaydream [Begin].aiff
0.093958	26661	Ovum Recordings - 2001 - SNS Project - Give Us Hope	House, Deep House, Tribal House	M:/Volumes/Abstracted/20001-30000/Ovum Recordings OVUM 303 20 2001 SNS Project Give Us Hope.aiff
0.093946	13992	Henriku, Alexander Skancke - Happy Birthday (feat. Federico Mac)	House, Tech House, Progressive House	M:/Volumes/Abstracted/10001-20000/Henriku, Alexander Skancke Happy Birthday feat Federico Mac.flac
0.092765	37951	Ralph Falcon, Alex K, Alan T - Whateva (feat. Alex K, Alan T) (Peter Rauhofer Remix)	House, Tech House, Electro	M:/Volumes/Abstracted/30001-40000/Ralph Falcon, Alex K, Alan T Whateva feat Alex K, Alan T Peter Rauhofer.aiff
0.092711	47327	Feed Me - Sleepless	Electro House, Electro, Techno	M:/Volumes/Avantgarde/MP3/Feed Me - SLEEPLESS [2019]/03 - Feed Me - Sleepless.mp3
0.092146	36461	Mac Simator Les Enfants Perdus - Be (kT) Mine	Tribal, Hard Techno, Hardcore	M:/Volumes/Abstracted/30001-40000/Mac Simator Les Enfants Perdus - Be (kT) Mine.flac
0.092045	31407	Welker - Tussy	House, Electro House, Electro	M:/Volumes/Abstracted/30001-40000/1-Welker-Tussy-E6K1WQ.flac
0.091693	25851	Mike Jones - Back Then	Gangsta, Screw, Thug Rap	M:/Volumes/Abstracted/20001-30000/Mike Jones - Back Then.flac
0.091511	4806	KiRiK - V Poli Gul	Progressive Breaks, Progressive House, Progressive Trance	M:/Volumes/Abstracted/00001-10000/KiRiK, Teya Flow - V Poli Gul.flac
0.091456	9013	Unknown - Fellas With An Attitude B	Techno, Electro, Breakbeat	M:/Volumes/Abstracted/00001-10000/Unknown - Fellas With An Attitude B [FWA000].flac
0.090940	31596	Fobos Hailey - Euphoria	Electro, Techno, Breakbeat	M:/Volumes/Abstracted/30001-40000/2-Fobos-Hailey-Euphoria-ENJLCO.flac
0.090831	8471	Symbol - Простуда	Trip Hop, Trip Hop, Pop Rap	M:/Volumes/Abstracted/00001-10000/Symbol - Простуда (Original Mix).wav
0.089959	328	Aegun - Aemicunu	Experimental, Techno, Abstract	M:/Volumes/Abstracted/00001-10000/Aegun - Aemicunu.wav
0.089829	43297	Blu:sh - Dizzy (Blush edit)	Euro House, House, Trance	M:/Volumes/Albums/Blu-sh - Blush Edits fundraiser/Blu-sh - Blush Edits fundraiser - 08 Dizzy (Blush edit).aiff
0.089548	54997	Frustration - Dying City	Synth-pop, New Wave, Electro	M:/Volumes/Avantgarde/MP3/Various Artists - DYING CITIES REMIX [2018]/02 - Frustration - Dying City.mp3
0.089405	43145	GBSR - G2 Cockboy (Mattt remix)	IDM, Glitch, Experimental	M:/Volumes/Albums/(IDMf001) VA - In Depth Melodics (2009)/04. GBSR - G2 Cockboy (Mattt remix).flac
